seed,strategy,budget,k,accuracy,f1
0,Random,0.1,249,0.6618589743589743,0.7908820614469773
0,Random,0.2,499,0.6650641025641025,0.7960975609756098
0,Random,0.3,748,0.6650641025641025,0.7960975609756098
0,Random,0.5,1247,0.6714743589743589,0.7980295566502463
0,Random,0.6,1497,0.6875,0.8055832502492523
1,Random,0.1,249,0.655448717948718,0.78900883218842
1,Random,0.2,499,0.6618589743589743,0.7957405614714425
1,Random,0.3,748,0.6634615384615384,0.7965116279069767
1,Random,0.5,1247,0.6602564102564102,0.7933723196881092
1,Random,0.6,1497,0.6634615384615384,0.7895791583166333
2,Random,0.1,249,0.6602564102564102,0.7925636007827789
2,Random,0.2,499,0.6666666666666666,0.7980582524271844
2,Random,0.3,748,0.6666666666666666,0.7976653696498055
2,Random,0.5,1247,0.6666666666666666,0.7976653696498055
2,Random,0.6,1497,0.7035256410256411,0.8133198789101918
3,Random,0.1,249,0.6682692307692307,0.7964601769911505
3,Random,0.2,499,0.6634615384615384,0.7953216374269005
3,Random,0.3,748,0.6698717948717948,0.7980392156862746
3,Random,0.5,1247,0.6682692307692307,0.7980487804878049
3,Random,0.6,1497,0.6714743589743589,0.7988223748773308
4,Random,0.1,249,0.6458333333333334,0.7800995024875622
4,Random,0.2,499,0.6458333333333334,0.7792207792207793
4,Random,0.3,748,0.6602564102564102,0.7917485265225933
4,Random,0.5,1247,0.6634615384615384,0.794921875
4,Random,0.6,1497,0.6634615384615384,0.7957198443579766
0,Entropy,0.1,249,0.6634615384615384,0.794921875
0,Entropy,0.2,499,0.6682692307692307,0.7952522255192879
0,Entropy,0.3,748,0.6682692307692307,0.7972575905974535
0,Entropy,0.5,1247,0.6666666666666666,0.7964774951076321
0,Entropy,0.6,1497,0.6682692307692307,0.7980487804878049
1,Entropy,0.1,249,0.6394230769230769,0.7761194029850746
1,Entropy,0.2,499,0.6634615384615384,0.7961165048543689
1,Entropy,0.3,748,0.6634615384615384,0.7969052224371374
1,Entropy,0.5,1247,0.6666666666666666,0.7980582524271844
1,Entropy,0.6,1497,0.6634615384615384,0.7904191616766467
2,Entropy,0.1,249,0.6634615384615384,0.7965116279069767
2,Entropy,0.2,499,0.6602564102564102,0.7917485265225933
2,Entropy,0.3,748,0.6650641025641025,0.7972841901066925
2,Entropy,0.5,1247,0.6650641025641025,0.7964946445959105
2,Entropy,0.6,1497,0.6794871794871795,0.8023715415019763
3,Entropy,0.1,249,0.6666666666666666,0.797270955165692
3,Entropy,0.2,499,0.6682692307692307,0.7980487804878049
3,Entropy,0.3,748,0.6698717948717948,0.798828125
3,Entropy,0.5,1247,0.6634615384615384,0.7969052224371374
3,Entropy,0.6,1497,0.6939102564102564,0.8080402010050252
4,Entropy,0.1,249,0.6650641025641025,0.7944936086529006
4,Entropy,0.2,499,0.6682692307692307,0.7976539589442815
4,Entropy,0.3,748,0.6666666666666666,0.7976653696498055
4,Entropy,0.5,1247,0.6698717948717948,0.7996108949416343
4,Entropy,0.6,1497,0.6698717948717948,0.7980392156862746
0,Cluster-based,0.1,249,0.6650641025641025,0.7960975609756098
0,Cluster-based,0.2,499,0.6506410256410257,0.7833001988071571
0,Cluster-based,0.3,748,0.6666666666666666,0.7976653696498055
0,Cluster-based,0.5,1247,0.6650641025641025,0.7964946445959105
0,Cluster-based,0.6,1497,0.6858974358974359,0.8063241106719368
1,Cluster-based,0.1,249,0.6474358974358975,0.7821782178217822
1,Cluster-based,0.2,499,0.655448717948718,0.7873392680514342
1,Cluster-based,0.3,748,0.6714743589743589,0.7984267453294002
1,Cluster-based,0.5,1247,0.6650641025641025,0.7960975609756098
1,Cluster-based,0.6,1497,0.6762820512820513,0.7996031746031746
2,Cluster-based,0.1,249,0.6666666666666666,0.797270955165692
2,Cluster-based,0.2,499,0.6666666666666666,0.797270955165692
2,Cluster-based,0.3,748,0.6682692307692307,0.7972575905974535
2,Cluster-based,0.5,1247,0.6714743589743589,0.7996089931573802
2,Cluster-based,0.6,1497,0.6698717948717948,0.7984344422700587
3,Cluster-based,0.1,249,0.6650641025641025,0.7964946445959105
3,Cluster-based,0.2,499,0.6618589743589743,0.7957405614714425
3,Cluster-based,0.3,748,0.6634615384615384,0.7961165048543689
3,Cluster-based,0.5,1247,0.6714743589743589,0.7996089931573802
3,Cluster-based,0.6,1497,0.6746794871794872,0.7980099502487562
4,Cluster-based,0.1,249,0.6602564102564102,0.792156862745098
4,Cluster-based,0.2,499,0.6602564102564102,0.7905138339920948
4,Cluster-based,0.3,748,0.6666666666666666,0.7980582524271844
4,Cluster-based,0.5,1247,0.6682692307692307,0.7984420642648491
4,Cluster-based,0.6,1497,0.6618589743589743,0.7957405614714425
0,Mixed,0.1,249,0.6634615384615384,0.794921875
0,Mixed,0.2,499,0.6682692307692307,0.7976539589442815
0,Mixed,0.3,748,0.6458333333333334,0.7792207792207793
0,Mixed,0.5,1247,0.6650641025641025,0.7936821322803553
0,Mixed,0.6,1497,0.6666666666666666,0.797270955165692
1,Mixed,0.1,249,0.6602564102564102,0.7941747572815534
1,Mixed,0.2,499,0.6650641025641025,0.7972841901066925
1,Mixed,0.3,748,0.6618589743589743,0.7941463414634147
1,Mixed,0.5,1247,0.6666666666666666,0.797270955165692
1,Mixed,0.6,1497,0.6714743589743589,0.7988223748773308
2,Mixed,0.1,249,0.6650641025641025,0.7948969578017664
2,Mixed,0.2,499,0.6682692307692307,0.7968596663395485
2,Mixed,0.3,748,0.6730769230769231,0.8011695906432749
2,Mixed,0.5,1247,0.6714743589743589,0.8
2,Mixed,0.6,1497,0.6618589743589743,0.7892107892107892
3,Mixed,0.1,249,0.6650641025641025,0.7960975609756098
3,Mixed,0.2,499,0.6682692307692307,0.7980487804878049
3,Mixed,0.3,748,0.6650641025641025,0.7968901846452867
3,Mixed,0.5,1247,0.6714743589743589,0.7984267453294002
3,Mixed,0.6,1497,0.6682692307692307,0.7980487804878049
4,Mixed,0.1,249,0.6618589743589743,0.793743890518084
4,Mixed,0.2,499,0.6602564102564102,0.792156862745098
4,Mixed,0.3,748,0.6634615384615384,0.7928994082840237
4,Mixed,0.5,1247,0.6282051282051282,0.7613168724279835
4,Mixed,0.6,1497,0.6634615384615384,0.7908366533864541
